Evento,Año,Género,Medalla,Nombre,Apellido,Pais,Arrancada,Dos tiempos,Total,Fecha,País,Resultados
+87 kg,2019,Femenino,Bronce,Emily,Campbell,Reino Unido,115.0,145.0,260.0,2019,Reino Unido,115 + 145 = 260
+87 kg,2020,Femenino,Bronce,Melike,Günal,Turquía,108.0,135.0,243.0,2020,Turquía,108 + 135 = 243
+87 kg,2019,Femenino,Oro,Tatiana,Kashirina,Rusia,146.0,185.0,331.0,2019,Rusia,146 + 185 = 331
+87 kg,2020,Femenino,Oro,Emily,Campbell,Reino Unido,122.0,154.0,276.0,2020,Reino Unido,122 + 154 = 276
+87 kg,2019,Femenino,Plata,Anastasiya,Lysenko,Ucrania,120.0,148.0,268.0,2019,Ucrania,120 + 148 = 268
+87 kg,2020,Femenino,Plata,Anastasiya,Lysenko,Ucrania,116.0,136.0,252.0,2020,Ucrania,116 + 136 = 252
45 kg,2019,Femenino,Bronce,Yuliya,Asayonak,Bielorrusia,69.0,81.0,150.0,2019,Bielorrusia,69 + 81 = 150
45 kg,2020,Femenino,Bronce,Melisa,Güneş,Turquía,68.0,83.0,151.0,2020,Turquía,68 + 83 = 151
45 kg,2019,Femenino,Oro,Şaziye,Erdoğan,Turquía,75.0,88.0,163.0,2019,Turquía,75 + 88 = 163
45 kg,2020,Femenino,Oro,Nadezhda,Nguen,Bulgaria,72.0,83.0,155.0,2020,Bulgaria,72 + 83 = 155
45 kg,2019,Femenino,Plata,Ivana,Petrova,Bulgaria,69.0,89.0,158.0,2019,Bulgaria,69 + 89 = 158
45 kg,2020,Femenino,Plata,Ivana,Petrova,Bulgaria,67.0,85.0,152.0,2020,Bulgaria,67 + 85 = 152
49 kg,2019,Femenino,Bronce,Giorgia,Russo,Italia,75.0,103.0,178.0,2019,Italia,75 + 103 = 178
49 kg,2020,Femenino,Bronce,Mihaela,Cambei,Rumania,80.0,100.0,180.0,2020,Rumania,80 + 100 = 180
49 kg,2019,Femenino,Oro,Elena,Andrieș,Rumania,87.0,103.0,190.0,2019,Rumania,87 + 103 = 190
49 kg,2020,Femenino,Oro,Monica,Csengeri,Rumania,86.0,103.0,189.0,2020,Rumania,86 + 103 = 189
49 kg,2019,Femenino,Plata,Kristina,Sobol,Rusia,85.0,95.0,180.0,2019,Rusia,85 + 95 = 180
49 kg,2020,Femenino,Plata,Kristina,Sobol,Rusia,85.0,96.0,181.0,2020,Rusia,85 + 96 = 181
55 kg,2019,Femenino,Bronce,Kristina,Novitskaya,Rusia,85.0,105.0,190.0,2019,Rusia,85 + 105 = 190
55 kg,2020,Femenino,Bronce,Nina,Sterckx,Bélgica,88.0,109.0,197.0,2020,Bélgica,88 + 109 = 197
55 kg,2019,Femenino,Oro,Joanna,Łochowska,Polonia,87.0,112.0,199.0,2019,Polonia,87 + 112 = 199
55 kg,2020,Femenino,Oro,Kamila,Konotop,Ucrania,95.0,113.0,208.0,2020,Ucrania,95 + 113 = 208
55 kg,2019,Femenino,Plata,Svetlana,Yershova,Rusia,90.0,108.0,198.0,2019,Rusia,90 + 108 = 198
55 kg,2020,Femenino,Plata,Svetlana,Yershova,Rusia,88.0,112.0,200.0,2020,Rusia,88 + 112 = 200
59 kg,2019,Femenino,Bronce,Alexandra,Kozlova,Rusia,96.0,117.0,213.0,2019,Rusia,96 + 117 = 213
59 kg,2020,Femenino,Bronce,Dora,Tchakounté,Francia,95.0,115.0,210.0,2020,Francia,95 + 115 = 210
59 kg,2019,Femenino,Oro,Rebeka,Koha,Letonia,101.0,120.0,221.0,2019,Letonia,101 + 120 = 221
59 kg,2020,Femenino,Oro,Boyanka,Kostova,Azerbaiyán,95.0,116.0,211.0,2020,Azerbaiyán,95 + 116 = 211
59 kg,2019,Femenino,Plata,Tatiana,Aleyeva,Rusia,94.0,120.0,214.0,2019,Rusia,94 + 120 = 214
59 kg,2020,Femenino,Plata,Olga,Tio,Rusia,95.0,115.0,210.0,2020,Rusia,95 + 115 = 210
64 kg,2019,Femenino,Bronce,Zoe,Smith,Reino Unido,96.0,128.0,224.0,2019,Reino Unido,96 + 128 = 224
64 kg,2020,Femenino,Bronce,Anastasiya,Anzorova,Rusia,100.0,122.0,222.0,2020,Rusia,100 + 122 = 222
