Evento,Unnamed: 1,Unnamed: 2,Unnamed: 3,Año,Género
55 kg (04.04),Anguel Rusev Bulgaria  111 + 147 = 258[n 1]​,Valentin Iancu Rumania  108 + 140 = 248[n 1]​,Dmytro Voronovsky Ucrania  110 + 137 = 247[n 1]​,2021,Masculino
61 kg (04.04),Stilian Grozdev Bulgaria  136 + 160 = 296,Shota Mishvelidze Georgia  135 + 155 = 290,Ferdi Hardal Turquía  130 + 157 = 287,2021,Masculino
67 kg (05.04),Muhammed Özbek Turquía  145 + 178 = 323,Mirko Zanni Italia  148 + 170 = 318,Valentin Guenchev Bulgaria  138 + 177 = 315,2021,Masculino
73 kg (06.04),Daniyar İsmayilov Turquía  160 + 181 = 341,Marin Robu Moldavia  156 + 183 = 339,Briken Calja Albania  152 + 184 = 336,2021,Masculino
81 kg (07.04),Antonino Pizzolato Italia  164 + 206 = 370,Karlos Nasar Bulgaria  163 + 206 = 369,Ritvars Suharevs Letonia  157 + 190 = 347,2021,Masculino
89 kg (08.04),Karen Avaguian Armenia  175 + 200 = 375,Revaz Davitadze Georgia  171 + 203 = 374,Andranik Karapetian Armenia  170 + 195 = 365,2021,Masculino
96 kg (09.04),Anton Pliesnoi Georgia  180 + 213 = 393,Piotr Asayonak Bielorrusia  172 + 202 = 374,Hakob Mkrtchian Armenia  160 + 212 = 372,2021,Masculino
102 kg (10.04),Samvel Gasparian Armenia  176 +214 = 390,Arsen Martirosian Armenia  171 + 209 = 380,Dadaş Dadaşbəyli Azerbaiyán  177 + 202 = 379,2021,Masculino
109 kg (10.04),Dmytro Chumak Ucrania  181 + 226 = 407,Jristo Jristov Bulgaria  186 + 220 = 406,Timur Naniyev Rusia  184 + 217 = 401,2021,Masculino
+109 kg (11.04),Lasha Talajadze Georgia  222 + 263 = 485,Gor Minasian Armenia  216 + 248 = 464,Varazdat Lalayan Armenia  205 + 240 = 445,2021,Masculino
45 kg (03.04),Nadezhda Nguen Bulgaria  72 + 83 = 155[n 1]​,Ivana Petrova Bulgaria  67 + 85 = 152[n 1]​,Melisa Güneş Turquía  68 + 83 = 151[n 1]​,2021,Femenino
49 kg (03.04),Monica Csengeri Rumania  86 + 103 = 189,Kristina Sobol Rusia  85 + 96 = 181,Mihaela Cambei Rumania  80 + 100 = 180,2021,Femenino
55 kg (04.04),Kamila Konotop Ucrania  95 + 113 = 208,Svetlana Yershova Rusia  88 + 112 = 200,Nina Sterckx Bélgica  88 + 109 = 197,2021,Femenino
59 kg (05.04),Boyanka Kostova Azerbaiyán  95 + 116 = 211,Olga Tio Rusia  95 + 115 = 210,Dora Tchakounté Francia  95 + 115 = 210,2021,Femenino
64 kg (06.04),Loredana Toma Rumania  114 + 130 = 244,Sarah Davies Reino Unido  101 + 129 = 230,Anastasiya Anzorova Rusia  100 + 122 = 222,2021,Femenino
71 kg (07.04),Emily Godley Reino Unido  98 + 129 = 227,Alessia Durante Italia  97 + 122 = 219,Raluca Olaru Rumania  98 + 120 = 218,2021,Femenino
76 kg (08.04),Iryna Deja Ucrania  113 + 135 = 248,Yana Sotiyeva Rusia  112 + 134 = 246,Anastasiya Romanova Rusia  111 + 132 = 243,2021,Femenino
81 kg (09.04),Alina Marushchak Ucrania  109 + 127 = 236,Gaëlle Nayo-Ketchanke Francia  100 + 131 = 231,Liana Guiurdzhian Armenia  98 + 129 = 227,2021,Femenino
87 kg (10.04),Daria Ajmerova Rusia  108 + 138 = 246,Elena Cîlcic Moldavia  107 + 138 = 245,Daria Riazanova Rusia  105 + 135 = 240,2021,Femenino
+87 kg (11.04),Emily Campbell Reino Unido  122 + 154 = 276,Anastasiya Lysenko Ucrania  116 + 136 = 252,Melike Günal Turquía  108 + 135 = 243,2021,Femenino
55 kg (29.05),Anguel Rusev Bulgaria  113 + 144 = 257[n 1]​,Josué Brachi García España  115 + 141 = 256[n 1]​,Dmytro Voronovsky Ucrania  108 + 134 = 242[n 1]​,2022,Masculino
61 kg (29.05),Ivan Dimov Bulgaria  135 + 151 = 286,Simon Brandhuber Alemania  134 + 152 = 286,Gabriel Marinov Bulgaria  122 + 157 = 279,2022,Masculino
67 kg (30.05),Valentin Guenchev Bulgaria  139 + 175 = 314,Shota Mishvelidze Georgia  142 + 165 = 307,Acorán Hernández Mendoza España  138 + 161 = 299,2022,Masculino
73 kg (31.05),Muhammed Özbek Turquía  149 + 190 = 339,Kaji Asanidze Georgia  150 + 176 = 326,Piotr Kudłaszyk Polonia  143 + 181 = 324,2022,Masculino
81 kg (01.06),Rafik Harutiunian Armenia  160 + 194 = 354,Andrés Mata Pérez España  160 + 186 = 346,Bozhidar Andreev Bulgaria  153 + 190 = 343,2022,Masculino
89 kg (02.06),Antonino Pizzolato Italia  175 + 217 = 392,Karlos Nasar Bulgaria  171 + 211 = 382,Revaz Davitadze Georgia  171 + 198 = 369,2022,Masculino
96 kg (03.06),Davit Hovhannisian Armenia  171 + 206 = 377,Ara Aghanian Armenia  170 + 205 = 375,Romain Imadouchène Francia  160 + 210 = 370,2022,Masculino
102 kg (04.06),David Fischerov Bulgaria  177 + 215 = 392,Samvel Gasparian Armenia  176 + 214 = 390,Marcos Ruiz Velasco España  176 + 208 = 384,2022,Masculino
109 kg (04.06),Jristo Jristov Bulgaria  180 + 211 = 391,Guiorgui Chjeidze Georgia  174 + 210 = 384,Arsen Martirosian Armenia  170 + 201 = 371,2022,Masculino
+109 kg (05.06),Lasha Talajadze Georgia  217 + 245 = 462,Varazdat Lalayan Armenia  211 + 240 = 451,Gor Minasian Armenia  210 + 236 = 446,2022,Masculino
45 kg (28.05),Şaziye Erdoğan Turquía  73 + 90 = 163[n 1]​,Cansu Bektaş Turquía  68 + 85 = 153[n 1]​,Radmila Zagorac Serbia  68 + 84 = 152[n 1]​,2022,Femenino
49 kg (28.05),Giulia Imperio Italia  79 + 92 = 171,Anhelina Lomachynska Ucrania  80 + 87 = 167,María Giménez-Guervos España  72 + 91 = 163,2022,Femenino
55 kg (29.05),Evagjelia Veli Albania  95 + 113 = 208,Kamila Konotop Ucrania  94 + 11 = 207,Nina Sterckx Bélgica  94 + 111 = 205,2022,Femenino
59 kg (30.05),Dora Tchakounté Francia  96 + 117 = 213,Lucrezia Magistris Italia  98 + 114 = 212,Ine Andersson Noruega  90 + 118 = 208,2022,Femenino
64 kg (31.05),Mariya Hanhur Ucrania  102 + 120 = 222,Nuray Güngör Turquía  99 + 120 = 219,Vicky Graillot Francia  89 + 119 = 208,2022,Femenino
71 kg (01.06),Patricia Strenius Suecia  94 + 130 = 224,Lisa Marie Schweizer Alemania  103 + 120 = 223,Monika Marach Polonia  99 + 116 = 215,2022,Femenino
76 kg (02.06),Marie Fegue Francia  110 + 135 = 245,Daniela Ivanova Letonia  96 + 126 = 222,Dilara Ucan Turquía  99 + 121 = 220,2022,Femenino
81 kg (03.06),Iryna Deja Ucrania  116 + 137 = 253,Alina Marushchak Ucrania  108 + 127 = 235,Dilara Narin Turquía  99 + 133 = 232,2022,Femenino
87 kg (04.06),Solfrid Koanda Noruega  109 + 143 = 252,Anastasiya Manievska Ucrania  107 + 130 = 237,Anastasiya Hotfrid Georgia  106 + 129 = 235,2022,Femenino
+87 kg (05.06),Emily Campbell Reino Unido  118 + 153 = 271,Melike Günal Turquía  108 + 134 = 242,Sarah Fischer Austria  102 + 128 = 230,2022,Femenino
55 kg (16.04),Anguel Rusev Bulgaria  109 + 141 = 250[n 1]​,Ramin Shamilishvili Georgia  113 + 136 = 249[n 1]​,Valentin Iancu Rumania  109 + 136 = 245[n 1]​,2023,Masculino
61 kg (16.04),Shota Mishvelidze Georgia  136 + 162 = 298,Sergio Massidda Italia  130 + 162 = 292,Ivan Dimov Bulgaria  127 + 150 = 277,2023,Masculino
67 kg (17.04),Gor Sahakian Armenia  145 + 175 = 320,Acorán Hernández Mendoza España  140 + 165 = 305,Kaan Kahriman Turquía  141 + 160 = 301,2023,Masculino
