Género,Evento,Año,Medalla,Nombre,Apellido,Pais,Arrancada,Dos_Tiempos,Total
Masculino,55 kg (04.04),2021,Oro,Anguel,Rusev,Bulgaria,111.0,147.0,258.0
Masculino,61 kg (04.04),2021,Oro,Stilian,Grozdev,Bulgaria,136.0,160.0,296.0
Masculino,67 kg (05.04),2021,Oro,Muhammed,Özbek,Turquía,145.0,178.0,323.0
Masculino,73 kg (06.04),2021,Oro,Daniyar,İsmayilov,Turquía,160.0,181.0,341.0
Masculino,81 kg (07.04),2021,Oro,Antonino,Pizzolato,Italia,164.0,206.0,370.0
Masculino,89 kg (08.04),2021,Oro,Karen,Avaguian,Armenia,175.0,200.0,375.0
Masculino,96 kg (09.04),2021,Oro,Anton,Pliesnoi,Georgia,180.0,213.0,393.0
Masculino,102 kg (10.04),2021,Oro,Samvel,Gasparian,Armenia,176.0,214.0,390.0
Masculino,109 kg (10.04),2021,Oro,Dmytro,Chumak,Ucrania,181.0,226.0,407.0
Masculino,+109 kg (11.04),2021,Oro,Lasha,Talajadze,Georgia,222.0,263.0,485.0
Femenino,45 kg (03.04),2021,Oro,Nadezhda,Nguen,Bulgaria,72.0,83.0,155.0
Femenino,49 kg (03.04),2021,Oro,Monica,Csengeri,Rumania,86.0,103.0,189.0
Femenino,55 kg (04.04),2021,Oro,Kamila,Konotop,Ucrania,95.0,113.0,208.0
Femenino,59 kg (05.04),2021,Oro,Boyanka,Kostova,Azerbaiyán,95.0,116.0,211.0
Femenino,64 kg (06.04),2021,Oro,Loredana,Toma,Rumania,114.0,130.0,244.0
Femenino,71 kg (07.04),2021,Oro,Emily,Godley,Reino Unido,98.0,129.0,227.0
Femenino,76 kg (08.04),2021,Oro,Iryna,Deja,Ucrania,113.0,135.0,248.0
Femenino,81 kg (09.04),2021,Oro,Alina,Marushchak,Ucrania,109.0,127.0,236.0
Femenino,87 kg (10.04),2021,Oro,Daria,Ajmerova,Rusia,108.0,138.0,246.0
Femenino,+87 kg (11.04),2021,Oro,Emily,Campbell,Reino Unido,122.0,154.0,276.0
Masculino,55 kg (29.05),2022,Oro,Anguel,Rusev,Bulgaria,113.0,144.0,257.0
Masculino,61 kg (29.05),2022,Oro,Ivan,Dimov,Bulgaria,135.0,151.0,286.0
Masculino,67 kg (30.05),2022,Oro,Valentin,Guenchev,Bulgaria,139.0,175.0,314.0
Masculino,73 kg (31.05),2022,Oro,Muhammed,Özbek,Turquía,149.0,190.0,339.0
Masculino,81 kg (01.06),2022,Oro,Rafik,Harutiunian,Armenia,160.0,194.0,354.0
Masculino,89 kg (02.06),2022,Oro,Antonino,Pizzolato,Italia,175.0,217.0,392.0
Masculino,96 kg (03.06),2022,Oro,Davit,Hovhannisian,Armenia,171.0,206.0,377.0
Masculino,102 kg (04.06),2022,Oro,David,Fischerov,Bulgaria,177.0,215.0,392.0
Masculino,109 kg (04.06),2022,Oro,Jristo,Jristov,Bulgaria,180.0,211.0,391.0
Masculino,+109 kg (05.06),2022,Oro,Lasha,Talajadze,Georgia,217.0,245.0,462.0
Femenino,45 kg (28.05),2022,Oro,Şaziye,Erdoğan,Turquía,73.0,90.0,163.0
