Evento,Nombre,Apellido,Pais,Arrancada,Dos_Tiempos,Total,Año,Género
55 kg (04.04),Anguel,Rusev,Bulgaria,111.0,147.0,258.0,2021,Masculino
61 kg (04.04),Stilian,Grozdev,Bulgaria,136.0,160.0,296.0,2021,Masculino
67 kg (05.04),Muhammed,Özbek,Turquía,145.0,178.0,323.0,2021,Masculino
73 kg (06.04),Daniyar,İsmayilov,Turquía,160.0,181.0,341.0,2021,Masculino
81 kg (07.04),Antonino,Pizzolato,Italia,164.0,206.0,370.0,2021,Masculino
89 kg (08.04),Karen,Avaguian,Armenia,175.0,200.0,375.0,2021,Masculino
96 kg (09.04),Anton,Pliesnoi,Georgia,180.0,213.0,393.0,2021,Masculino
102 kg (10.04),Samvel,Gasparian,Armenia,176.0,214.0,390.0,2021,Masculino
109 kg (10.04),Dmytro,Chumak,Ucrania,181.0,226.0,407.0,2021,Masculino
+109 kg (11.04),Lasha,Talajadze,Georgia,222.0,263.0,485.0,2021,Masculino
45 kg (03.04),Nadezhda,Nguen,Bulgaria,72.0,83.0,155.0,2021,Femenino
49 kg (03.04),Monica,Csengeri,Rumania,86.0,103.0,189.0,2021,Femenino
55 kg (04.04),Kamila,Konotop,Ucrania,95.0,113.0,208.0,2021,Femenino
59 kg (05.04),Boyanka,Kostova,Azerbaiyán,95.0,116.0,211.0,2021,Femenino
64 kg (06.04),Loredana,Toma,Rumania,114.0,130.0,244.0,2021,Femenino
71 kg (07.04),Emily,Godley,Reino Unido,98.0,129.0,227.0,2021,Femenino
76 kg (08.04),Iryna,Deja,Ucrania,113.0,135.0,248.0,2021,Femenino
81 kg (09.04),Alina,Marushchak,Ucrania,109.0,127.0,236.0,2021,Femenino
87 kg (10.04),Daria,Ajmerova,Rusia,108.0,138.0,246.0,2021,Femenino
+87 kg (11.04),Emily,Campbell,Reino Unido,122.0,154.0,276.0,2021,Femenino
55 kg (29.05),Anguel,Rusev,Bulgaria,113.0,144.0,257.0,2022,Masculino
61 kg (29.05),Ivan,Dimov,Bulgaria,135.0,151.0,286.0,2022,Masculino
67 kg (30.05),Valentin,Guenchev,Bulgaria,139.0,175.0,314.0,2022,Masculino
73 kg (31.05),Muhammed,Özbek,Turquía,149.0,190.0,339.0,2022,Masculino
81 kg (01.06),Rafik,Harutiunian,Armenia,160.0,194.0,354.0,2022,Masculino
89 kg (02.06),Antonino,Pizzolato,Italia,175.0,217.0,392.0,2022,Masculino
96 kg (03.06),Davit,Hovhannisian,Armenia,171.0,206.0,377.0,2022,Masculino
102 kg (04.06),David,Fischerov,Bulgaria,177.0,215.0,392.0,2022,Masculino
109 kg (04.06),Jristo,Jristov,Bulgaria,180.0,211.0,391.0,2022,Masculino
+109 kg (05.06),Lasha,Talajadze,Georgia,217.0,245.0,462.0,2022,Masculino
45 kg (28.05),Şaziye,Erdoğan,Turquía,73.0,90.0,163.0,2022,Femenino
49 kg (28.05),Giulia,Imperio,Italia,79.0,92.0,171.0,2022,Femenino
55 kg (29.05),Evagjelia,Veli,Albania,95.0,113.0,208.0,2022,Femenino
59 kg (30.05),Dora,Tchakounté,Francia,96.0,117.0,213.0,2022,Femenino
64 kg (31.05),Mariya,Hanhur,Ucrania,102.0,120.0,222.0,2022,Femenino
71 kg (01.06),Patricia,Strenius,Suecia,94.0,130.0,224.0,2022,Femenino
76 kg (02.06),Marie,Fegue,Francia,110.0,135.0,245.0,2022,Femenino
81 kg (03.06),Iryna,Deja,Ucrania,116.0,137.0,253.0,2022,Femenino
87 kg (04.06),Solfrid,Koanda,Noruega,109.0,143.0,252.0,2022,Femenino
+87 kg (05.06),Emily,Campbell,Reino Unido,118.0,153.0,271.0,2022,Femenino
55 kg (16.04),Anguel,Rusev,Bulgaria,109.0,141.0,250.0,2023,Masculino
61 kg (16.04),Shota,Mishvelidze,Georgia,136.0,162.0,298.0,2023,Masculino
67 kg (17.04),Gor,Sahakian,Armenia,145.0,175.0,320.0,2023,Masculino
73 kg (18.04),Ritvars,Suharevs,Letonia,152.0,184.0,336.0,2023,Masculino
81 kg (19.04),Oscar,Reyes Martínez,Italia,155.0,188.0,343.0,2023,Masculino
89 kg (20.04),Karlos,Nasar,Bulgaria,174.0,221.0,395.0,2023,Masculino
96 kg (21.04),Davit,Hovhannisian,Armenia,172.0,205.0,377.0,2023,Masculino
102 kg (22.04),Garik,Karapetian,Armenia,178.0,214.0,392.0,2023,Masculino
109 kg (22.04),Samvel,Gasparian,Armenia,175.0,220.0,395.0,2023,Masculino
+109 kg (23.04),Lasha,Talajadze,Georgia,222.0,252.0,474.0,2023,Masculino
45 kg (15.04),Cansu,Bektaş,Turquía,72.0,90.0,162.0,2023,Femenino
49 kg (15.04),Mihaela,Cambei,Rumania,92.0,106.0,198.0,2023,Femenino
55 kg (16.04),Andreea,Cotruță,Rumania,91.0,110.0,201.0,2023,Femenino
59 kg (17.04),Kamila,Konotop,Ucrania,106.0,129.0,235.0,2023,Femenino
64 kg (18.04),Nuray,Güngör,Turquía,99.0,120.0,219.0,2023,Femenino
71 kg (19.04),Loredana,Toma,Rumania,110.0,130.0,240.0,2023,Femenino
76 kg (20.04),Marie,Fegue,Francia,113.0,140.0,253.0,2023,Femenino
81 kg (21.04),Iryna,Deja,Ucrania,123.0,135.0,258.0,2023,Femenino
87 kg (22.04),Solfrid,Koanda,Noruega,117.0,155.0,272.0,2023,Femenino
+87 kg (23.04),Emily,Campbell,Reino Unido,110.0,143.0,253.0,2023,Femenino
55 kg (13.02),Anguel,Rusev,Bulgaria,109.0,135.0,244.0,2024,Masculino
61 kg (13.02),Gabriel,Marinov,Bulgaria,121.0,160.0,281.0,2024,Masculino
67 kg (14.02),Gor,Sahakian,Armenia,140.0,171.0,311.0,2024,Masculino
73 kg (15.02),Bozhidar,Andreev,Bulgaria,155.0,193.0,348.0,2024,Masculino
81 kg (16.02),Oscar,Reyes Martínez,Italia,155.0,191.0,346.0,2024,Masculino
89 kg (17.02),Karlos,Nasar,Bulgaria,176.0,215.0,391.0,2024,Masculino
96 kg (18.02),Hakob,Mkrtchian,Armenia,166.0,209.0,375.0,2024,Masculino
102 kg (19.02),Yauheni,Tsijantsou,AIN,181.0,217.0,398.0,2024,Masculino
109 kg (19.02),Dadaş,Dadaşbəyli,Azerbaiyán,176.0,212.0,388.0,2024,Masculino
+109 kg (20.02),Varazdat,Lalayan,Armenia,205.0,250.0,455.0,2024,Masculino
